index,Invoice total by day,Vendor ID,Vendor,Geo Region Group
2021-11-19,0.0,1001,A,Caribbean
2021-11-20,0.0,1001,A,Caribbean
2021-11-21,0.0,1001,A,Caribbean
2021-11-22,0.0,1001,A,Caribbean
2021-11-23,6801.35,1001,A,Caribbean
2021-11-24,4383.75,1001,A,Caribbean
2021-11-25,0.0,1001,A,Caribbean
2021-11-26,1396.5,1001,A,Caribbean
2021-11-27,0.0,1001,A,Caribbean
2021-11-28,0.0,1001,A,Caribbean
2021-11-29,0.0,1001,A,Caribbean
2021-11-30,540.5,1001,A,Caribbean
2021-12-01,1396.5,1001,A,Caribbean
2021-12-02,0.0,1001,A,Caribbean
2021-12-03,0.0,1001,A,Caribbean
2021-12-04,0.0,1001,A,Caribbean
2021-12-05,0.0,1001,A,Caribbean
2021-12-06,43402.2,1001,A,Caribbean
2021-12-07,16231.31,1001,A,Caribbean
2021-12-08,17830.71,1001,A,Caribbean
2021-12-09,23309.43,1001,A,Caribbean
2021-12-10,0.0,1001,A,Caribbean
2021-12-11,0.0,1001,A,Caribbean
2021-12-12,0.0,1001,A,Caribbean
2021-12-13,4313.17,1001,A,Caribbean
2021-12-14,0.0,1001,A,Caribbean
2021-12-15,2112.8,1001,A,Caribbean
2021-12-16,4686.35,1001,A,Caribbean
2021-12-17,0.0,1001,A,Caribbean
2021-12-18,0.0,1001,A,Caribbean
2021-12-19,0.0,1001,A,Caribbean
2021-12-20,0.0,1001,A,Caribbean
2021-12-21,2494.7,1001,A,Caribbean
2021-12-22,3971.45,1001,A,Caribbean
2021-12-23,0.0,1001,A,Caribbean
2021-12-24,0.0,1001,A,Caribbean
2021-12-25,0.0,1001,A,Caribbean
2021-12-26,0.0,1001,A,Caribbean
2021-12-27,0.0,1001,A,Caribbean
2021-12-28,0.0,1001,A,Caribbean
2021-12-29,5055.85,1001,A,Caribbean
2021-12-30,0.0,1001,A,Caribbean
2021-12-31,0.0,1001,A,Caribbean
2022-01-01,0.0,1001,A,Caribbean
2022-01-02,0.0,1001,A,Caribbean
2022-01-03,0.0,1001,A,Caribbean
2022-01-04,2020.65,1001,A,Caribbean
2022-01-05,0.0,1001,A,Caribbean
2022-01-06,26032.23,1001,A,Caribbean
2022-01-07,34907.92,1001,A,Caribbean
2022-01-08,0.0,1001,A,Caribbean
2022-01-09,0.0,1001,A,Caribbean
2022-01-10,0.0,1001,A,Caribbean
2022-01-11,6230.64,1001,A,Caribbean
2022-01-12,0.0,1001,A,Caribbean
2022-01-13,3143.48,1001,A,Caribbean
2022-01-14,0.0,1001,A,Caribbean
2022-01-15,0.0,1001,A,Caribbean
2022-01-16,0.0,1001,A,Caribbean
2022-01-17,0.0,1001,A,Caribbean
2022-01-18,0.0,1001,A,Caribbean
2022-01-19,8438.6,1001,A,Caribbean
2022-01-20,0.0,1001,A,Caribbean
2022-01-21,1024.0,1001,A,Caribbean
2022-01-22,0.0,1001,A,Caribbean
2022-01-23,0.0,1001,A,Caribbean
2022-01-24,0.0,1001,A,Caribbean
2022-01-25,1974.05,1001,A,Caribbean
2022-01-26,794.46,1001,A,Caribbean
2022-01-27,2809.5,1001,A,Caribbean
2022-01-28,218.5,1001,A,Caribbean
2022-01-29,0.0,1001,A,Caribbean
2022-01-30,0.0,1001,A,Caribbean
2022-01-31,21359.48,1001,A,Caribbean
2022-02-01,0.0,1001,A,Caribbean
2022-02-02,0.0,1001,A,Caribbean
2022-02-03,0.0,1001,A,Caribbean
2022-02-04,0.0,1001,A,Caribbean
2022-02-05,0.0,1001,A,Caribbean
